lang_code,timeConsumedMillis,mem_kb,rating,time_per_rating,target
4,765,47500,2800.0,0.2732142857142857,1
4,827,77700,2800.0,0.2953571428571429,1
4,202,100,2200.0,0.09181818181818181,1
4,46,0,2200.0,0.02090909090909091,0
4,93,0,1800.0,0.051666666666666666,1
4,62,0,1500.0,0.04133333333333333,1
4,77,0,1100.0,0.07,1
4,62,0,800.0,0.0775,1
4,530,50600,2900.0,0.18275862068965518,1
4,218,0,2900.0,0.07517241379310345,0
4,1093,91000,2500.0,0.4372,1
4,296,0,2500.0,0.1184,0
4,1405,106600,2900.0,0.4844827586206897,1
4,265,0,2100.0,0.1261904761904762,1
4,249,100,1700.0,0.14647058823529413,1
4,218,100,1400.0,0.15571428571428572,1
4,61,0,1300.0,0.04692307692307692,1
4,77,0,800.0,0.09625,1
14,3093,17700,3500.0,0.8837142857142857,1
14,7000,38100,3500.0,2.0,0
14,217,600,3500.0,0.062,0
14,843,32400,2700.0,0.31222222222222223,1
14,3905,92300,2800.0,1.394642857142857,1
14,499,30000,2200.0,0.2268181818181818,1
14,186,0,2100.0,0.08857142857142856,1
14,531,35800,1800.0,0.295,1
14,249,12300,1800.0,0.13833333333333334,1
14,265,100,1200.0,0.22083333333333333,1
14,218,200,800.0,0.2725,1
4,108,0,3100.0,0.03483870967741935,1
4,2077,0,2600.0,0.7988461538461539,1
4,2811,100,2000.0,1.4055,1
4,749,100,1800.0,0.4161111111111111,1
4,390,4200,1900.0,0.20526315789473684,1
4,77,0,1100.0,0.07,1
4,140,0,2500.0,0.056,1
4,93,0,2500.0,0.0372,0
4,46,0,2500.0,0.0184,0
4,281,0,2100.0,0.13380952380952382,1
4,781,57600,2000.0,0.3905,1
4,93,0,1700.0,0.054705882352941174,1
4,31,0,1700.0,0.018235294117647058,0
4,93,4900,1200.0,0.0775,1
4,781,6500,2600.0,0.30038461538461536,1
4,93,0,2000.0,0.0465,1
4,62,300,1900.0,0.03263157894736842,1
4,61,0,1900.0,0.032105263157894734,0
4,109,0,1400.0,0.07785714285714286,1
4,249,6700,1400.0,0.17785714285714285,1
4,140,0,1100.0,0.12727272727272726,1
4,62,0,800.0,0.0775,1
4,62,0,800.0,0.0775,1
4,140,100,3500.0,0.04,1
4,2000,278200,3500.0,0.5714285714285714,0
4,77,0,3500.0,0.022,0
4,2000,0,3500.0,0.5714285714285714,0
4,2000,100,3500.0,0.5714285714285714,0
4,2000,0,3500.0,0.5714285714285714,0
4,2000,0,3500.0,0.5714285714285714,0
4,2000,0,3500.0,0.5714285714285714,0
4,2000,0,3500.0,0.5714285714285714,0
4,2000,0,3500.0,0.5714285714285714,0
4,2000,100,3500.0,0.5714285714285714,0
4,62,0,3500.0,0.017714285714285714,0
4,2000,290500,3500.0,0.5714285714285714,0
4,2000,0,3500.0,0.5714285714285714,0
4,2000,0,3500.0,0.5714285714285714,0
4,2000,0,3500.0,0.5714285714285714,0
4,2000,100,3500.0,0.5714285714285714,0
4,2000,0,3500.0,0.5714285714285714,0
4,2000,0,3500.0,0.5714285714285714,0
4,2000,262100,3500.0,0.5714285714285714,0
4,2000,0,3500.0,0.5714285714285714,0
4,2000,153300,3500.0,0.5714285714285714,0
4,155,100,3500.0,0.04428571428571428,0
4,2000,100,3500.0,0.5714285714285714,0
4,2000,275600,3500.0,0.5714285714285714,0
4,2000,130300,3500.0,0.5714285714285714,0
4,2000,0,3500.0,0.5714285714285714,0
4,124,100,3400.0,0.036470588235294116,1
4,77,100,3100.0,0.024838709677419354,1
4,46,0,3100.0,0.014838709677419355,0
4,280,3000,2800.0,0.1,1
4,531,57400,2100.0,0.25285714285714284,1
4,249,10900,1800.0,0.13833333333333334,1
4,202,0,1400.0,0.1442857142857143,1
4,61,0,1300.0,0.04692307692307692,1
4,61,100,800.0,0.07625,1
4,1468,36600,3000.0,0.48933333333333334,1
4,2000,36600,3000.0,0.6666666666666666,0
4,61,0,3000.0,0.02033333333333333,0
4,77,0,3000.0,0.025666666666666667,0
4,108,30200,2500.0,0.0432,1
4,343,7800,1600.0,0.214375,1
4,61,0,1100.0,0.05545454545454546,1
4,62,0,900.0,0.06888888888888889,1
4,93,100,800.0,0.11625,1
4,62,100,3400.0,0.018235294117647058,1
4,296,13900,2400.0,0.12333333333333334,1
4,46,0,2400.0,0.019166666666666665,0
4,171,3000,3300.0,0.05181818181818182,1
4,687,100,2600.0,0.2642307692307692,1
4,109,100,1700.0,0.06411764705882353,1
4,155,100,1100.0,0.1409090909090909,1
4,46,0,800.0,0.0575,1
4,3000,94800,2800.0,1.0714285714285714,0
4,952,79900,3200.0,0.2975,1
4,139,23600,3500.0,0.039714285714285716,1
4,62,100,2300.0,0.026956521739130435,1
4,92,100,2100.0,0.04380952380952381,1
4,124,100,1700.0,0.07294117647058823,1
4,217,1100,1300.0,0.16692307692307692,1
4,108,100,1000.0,0.108,1
4,77,100,800.0,0.09625,1
4,1093,95000,3100.0,0.35258064516129034,1
4,140,0,2400.0,0.058333333333333334,1
4,62,100,1700.0,0.036470588235294116,1
4,499,61000,2200.0,0.2268181818181818,1
4,62,600,1300.0,0.047692307692307694,1
4,62,100,1200.0,0.051666666666666666,1
4,31,0,800.0,0.03875,1
4,2686,621700,2900.0,0.9262068965517242,1
4,124,8400,1900.0,0.06526315789473684,1
4,61,0,1900.0,0.032105263157894734,0
4,108,100,2400.0,0.045,1
4,46,0,2400.0,0.019166666666666665,0
4,31,100,1900.0,0.01631578947368421,0
4,108,0,1400.0,0.07714285714285714,1
4,124,100,1100.0,0.11272727272727273,1
